연도주차,확진자,사망자,격리해제,매출액,매출액증감,관객수,관객수증감,확진자 증감,아시아구독자증감
2020_38,799,25,1932,5382.436122,-2.5949820938720287,0.629455,-237.93488017411892,-200,0
2020_39,636,18,1090,4685.99682,-0.14862137742551856,0.532238,-18.265700682777254,-163,0
2020_40,480,20,597,5168.32481,0.09332385400135093,0.5813149999999999,8.442410741164435,-156,0
2020_41,515,11,848,8563.82638,0.3964935087812932,0.980325,40.70180807385306,35,0
2020_42,593,12,619,7555.43081,-0.13346632314670095,0.882172,-11.126288297520217,78,0
2020_43,637,13,557,5889.35341,-0.2828964886316782,0.6502680000000001,-35.66283440058561,44,0
2020_44,799,9,488,7936.1271400000005,0.2579058643962198,0.8775149999999999,25.896651339293353,162,0
2020_45,791,12,611,4314.94582,-0.8392182592920714,0.515954,-70.07620834415471,-8,0
2020_46,1118,15,723,6796.50035,0.3651224015606797,0.762563,32.33949195017329,327,0
2020_47,2126,18,1076,8499.08908,0.2003260248214741,0.946282,19.414825601670533,1008,0
2020_48,3776,22,1586,9947.99116,0.14564770481762268,1.088277,13.0476891453187,1650,0
2020_49,5221,35,2686,4212.71058,-1.3614228822716798,0.47812200000000005,-127.61491836811526,1445,0
2020_50,6896,94,2908,1740.0849600000001,-1.4209798238817029,0.200771,-138.14295889346567,1675,1.99
2020_51,7206,134,4318,2317.52533,0.24916248488209625,0.26625,24.593051643192478,310,0
2020_52,6371,154,5467,3055.50729,0.24152518385907695,0.35815,25.659639815719682,-835,0
2021_01,5413,163,5902,1262.97883,0.007559493297286663,0.142982,-0.6833027933586086,-958,0
2021_02,3685,124,7844,2839.49165,0.5552095284379512,0.339142,57.84007878705675,-1728,0
2021_03,2748,100,4277,8866.24563,0.6797413732378177,0.942168,64.00408419729816,-937,0
2021_04,3121,71,5348,6849.7668,-0.29438649356646696,0.735653,-28.072338453047834,373,0
2021_05,2690,51,2987,7250.285470000001,0.055241779328173056,0.8326290000000001,11.646964013984615,-431,0
2021_06,2630,51,2694,4693.72397,-0.5446765758575274,0.516596,-61.17604472353635,-60,0
2021_07,3467,35,3957,6233.21705,0.24698210693625694,0.6667930000000001,22.52528145916348,837,0
2021_08,2680,46,3181,8375.253359999999,0.2557577923827728,0.891748,25.22629711532855,-787,0
2021_09,2799,31,2523,6668.8898,-0.2558692092947766,0.754533,-18.185420650919173,119,0
2021_10,3164,35,4188,6354.03258,-0.04955234585844693,0.679566,-11.031599579731772,365,0
2021_11,3027,27,2920,4518.65173,-0.4061788691999949,0.481541,-41.123185772343376,-137,0
2021_12,3090,26,3527,6436.78405,0.2979954438583349,0.7200810000000001,33.12682878731698,63,1.36
2021_13,3529,22,2734,7667.25451,0.1604838418230621,0.8198290000000001,12.166927493416315,439,0
2021_14,4280,24,3520,6036.105320000001,-0.2702320624849535,0.6411100000000001,-27.87649545319837,751,0
2021_15,4560,29,3897,7646.53005,0.21060856616917376,0.828691,22.635819623961165,280,0
2021_16,4765,16,4469,7030.27145,-0.08765786703726783,0.796009,-4.105732472874049,205,0
2021_17,4353,20,4390,5297.49621,-0.3270932476986142,0.572371,-39.072210157397905,-412,0
2021_18,4069,41,4558,5596.7998,0.0534776301986002,0.593916,3.6276173735006365,-284,0
2021_19,4361,26,4341,11331.10303,0.5060675218306615,1.1751559999999999,49.46066734969655,292,0
2021_20,4259,31,4117,10752.47534,-0.053813440319873285,1.173335,-0.15519864318375168,-102,0
2021_21,3988,26,4500,13843.84568,0.2233028604519954,1.437373,18.369483773522948,-271,0
