순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,배급사 
,,,,점유율 ,,,,,,,,
84,아이 엠 어 히어로,2016-09-21,"5,735,500",0.0%,"1,816,952,900",838,"214,280",31,336,일본,일본,(주)영화사 빅
85,구독좋아요알림설정,2021-05-19,"8,376,600",0.0%,"8,376,600",787,787,16,255,미국,미국,주식회사 왓챠
86,테넷,2020-08-26,"5,418,000",0.0%,"18,475,077,170",762,"2,000,251",32,198,미국,미국,워너브러더스 코리아(주)
87,아르코 라이브 뮤지컬 인사이드 윌리엄,2021-05-26,"13,517,500",0.0%,"13,517,500",751,751,14,119,한국,한국,(주)아이디어랩
88,여중생A,2018-06-20,"7,209,500",0.0%,"819,847,000",722,"98,708",18,76,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
89,나소흑전기: 첫만남편,2021-04-22,"7,426,300",0.0%,"51,967,800",710,"5,430",34,120,중국,중국,(주)디스테이션
90,까치발,2021-06-03,"6,684,000",0.0%,"9,110,000",708,"1,184",2,6,한국,한국,(주)시네마달
91,예르미타시 예술의 힘,2021-05-12,"11,942,500",0.0%,"11,942,500",664,664,21,253,이탈리아,이탈리아,CGV ICECON
92,소년시절의 너,2020-07-09,"6,018,280",0.0%,"676,247,830",660,"80,507",14,108,중국,중국,"(주)영화특별시에스엠씨,(주)콘텐츠패밀리"
93,코드 기아스: 부활의 를르슈,2021-04-28,"6,756,100",0.0%,"10,063,100",626,"1,006",29,153,일본,일본,(주)얼리버드픽쳐스
94,레옹,1995-02-18,"6,049,220",0.0%,"355,385,520",625,"46,663",19,182,프랑스,프랑스,"(주)제이앤씨미디어그룹,(주)팝파트너스"
95,광대: 소리꾼 감독판,,"5,544,000",0.0%,"6,934,000",604,750,3,20,한국,한국,(주)리틀빅픽쳐스
96,썰,2021-06-03,"5,346,000",0.0%,"5,346,000",594,594,5,6,한국,한국,(주)스마일이엔티
97,라스트 레터,2021-02-24,"2,942,000",0.0%,"99,599,650",588,"11,889",3,3,일본,일본,(주)스튜디오 산타클로스엔터테인먼트
98,리스타트,2021-03-11,"2,937,000",0.0%,"356,329,620",587,"40,059",1,2,미국,미국,(주)넥스트엔터테인먼트월드(NEW)
99,중경삼림,1995-09-02,"5,359,800",0.0%,"640,923,070",572,"68,668",5,76,홍콩,홍콩,(주)디스테이션
100,마미,2014-12-18,"3,886,000",0.0%,"486,704,544",565,"61,063",13,170,캐나다,"캐나다,프랑스",(주)엣나인필름
101,피아니스트,2003-01-01,"5,298,220",0.0%,"114,722,450",556,"15,327",18,173,프랑스,프랑스,"(주)씨네월드,(주)드림팩트엔터테인먼트"
102,시네마 천국,1990-07-07,"3,845,500",0.0%,"373,402,000",547,"60,453",11,124,프랑스,"프랑스,이탈리아","주식회사 왓챠,(주)팝엔터테인먼트"
103,비밀의 정원,2021-04-08,"2,885,000",0.0%,"66,332,690",545,"8,394",4,71,한국,한국,필름다빈
104,"사랑하고 사랑받고, 차고 차이고",2021-04-08,"5,100,380",0.0%,"70,256,990",541,"7,567",24,146,일본,일본,(주)라이크콘텐츠
105,더 레이서,2021-02-24,"2,686,000",0.0%,"102,225,540",537,"12,654",3,3,기타,기타,(주)다자인소프트
106,둥글고 둥글게,,"5,310,000",0.0%,"5,310,000",531,531,1,1,한국,한국,(주)영화사 진진
107,시월애,2000-09-09,"4,220,000",0.0%,"10,856,000",507,"1,626",36,135,한국,한국,브에나비스타인터내셔널코리아
