●04주차 (2019년 01월 21일 ~ 2019년 01월 27일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
52,실크 스타킹,,"1,272,000",0.0%,"1,272,000",100.0%,"2,683,000",636,636,100.0%,"1,347",1,12,미국,미국,
53,얼굴들,2019-01-24,"4,910,600",0.0%,"2,438,600",98.6%,"10,838,600",610,198,48.1%,"1,446",19,84,한국,한국,(주)시네마달
54,러빙 빈센트 : 비하인드 에디션,2018-12-13,"4,833,980",0.0%,"-1,142,220",-19.1%,"204,854,930",603,-164,-21.4%,"24,086",6,39,영국,영국,(주)이수C&E
55,안시성,2018-09-19,"4,592,000",0.0%,"4,592,000",100.0%,"46,339,926,026",574,574,100.0%,"5,440,760",2,3,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
56,신과함께-인과 연,2018-08-01,"4,208,000",0.0%,"4,208,000",100.0%,"102,670,354,909",526,526,100.0%,"12,275,522",2,2,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
57,싸이코 킬러,2018-11-16,"2,625,000",0.0%,"1,155,000",78.6%,"5,347,000",525,280,114.3%,"1,021",2,4,미국,미국,제인앤유
58,메이트,2019-01-17,"4,199,650",0.0%,"-5,011,850",-54.4%,"16,292,150",517,-550,-51.5%,"1,909",22,106,한국,한국,(주)콘텐츠 난다긴다
59,패니,,"1,008,000",0.0%,"1,008,000",100.0%,"1,270,000",499,499,100.0%,588,1,8,미국,미국,
60,미스터 스마일,2018-12-27,"3,613,500",0.0%,"-7,204,700",-66.6%,"177,726,800",489,"-1,034",-67.9%,"21,748",11,45,미국,미국,(주)티캐스트
61,명탐정 코난 : 제로의 집행인,2018-08-08,"3,973,000",0.0%,"-33,948,000",-89.5%,"3,207,228,361",488,"-4,223",-89.6%,"419,705",14,42,일본,일본,(주)씨제이이엔엠
62,점박이 한반도의 공룡2 : 새로운 낙원,2018-12-25,"3,149,100",0.0%,"-17,120,250",-84.5%,"4,286,061,800",470,"-2,402",-83.6%,"549,131",6,28,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
63,말 없는 사나이,,"884,000",0.0%,"884,000",100.0%,"12,298,000",442,442,100.0%,"5,383",1,9,미국,미국,
