순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,배급사 
,,,,점유율 ,,,,,,,,
128,원스 어폰 어 타임... 인 할리우드,2019-09-25,"4,632,000",0.0%,"2,269,807,670",648,"277,319",1,6,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
129,오셀로,,"1,226,000",0.0%,"3,938,000",645,"1,681",1,10,미국,미국,
130,무분별,,"1,273,000",0.0%,"1,944,000",634,887,1,15,영국,영국,
131,스타워즈: 라이즈 오브 스카이워커,2020-01-08,"8,112,000",0.0%,"8,112,000",624,624,1,1,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
132,시빌,2019-11-21,"4,038,200",0.0%,"40,018,280",592,"5,139",11,62,프랑스,프랑스,(주)영화특별시에스엠씨
133,사람보,,"1,144,000",0.0%,"1,144,000",572,572,1,10,프랑스,"프랑스,이탈리아",
134,백야,1986-09-13,"1,165,000",0.0%,"4,182,000",570,"2,071",1,21,미국,미국,
135,은지: 돌이킬 수 없는 그녀,2019-12-19,"5,192,800",0.0%,"5,192,800",568,568,4,27,한국,한국,(주)이놀미디어
136,패트와 매트: 우당탕탕 크리스마스,2019-11-07,"3,567,000",0.0%,"59,675,500",535,"7,657",2,14,체코,체코,(주)팝엔터테인먼트
137,나쁜 녀석들: 더 무비,2019-09-11,"5,320,000",0.0%,"39,560,195,124",532,"4,573,902",2,2,한국,한국,(주)씨제이이엔엠
138,사랑의 결단,,"1,060,000",0.0%,"2,298,000",530,"1,149",1,8,미국,미국,
139,아사코,2019-03-14,"4,458,000",0.0%,"133,782,619",505,"15,535",2,6,일본,일본,(주)이수C&E
140,愛憎,,"1,004,000",0.0%,"8,918,000",502,"4,470",1,11,미국,미국,
141,가르멜회 수녀들과의 대화,,"10,825,500",0.0%,"10,825,500",500,500,6,24,미국,미국,
142,지구 최후의 밤,2019-07-25,"4,381,280",0.0%,"52,517,080",490,"6,457",5,6,중국,중국,찬란
142,애국자 게임 2 - 지록위마,,"3,898,500",0.0%,"5,578,500",490,700,1,8,한국,한국,
144,상류사회,,"988,000",0.0%,"4,590,000",489,"1,996",1,11,미국,미국,
145,리오 브라보,,"870,000",0.0%,"29,341,000",483,"12,470",1,12,미국,미국,
146,(2019최강애니전) 상상의 도발,,"1,888,000",0.0%,"5,650,000",472,"1,229",1,4,기타,기타,
146,(2019최강애니전) 소녀이야기,,"1,888,000",0.0%,"5,402,000",472,"1,178",1,4,한국,한국,
146,(2019최강애니전) 감성의 온도,,"1,888,000",0.0%,"6,492,500",472,"1,397",1,4,기타,기타,
149,타오르는 여인의 초상,2020-01-16,"3,325,000",0.0%,"6,320,000",469,769,3,6,프랑스,프랑스,"그린나래미디어(주),(주)홈초이스"
150,라보엠,2014-12-20,"7,305,000",0.0%,"64,624,000",468,"4,314",6,18,독일,독일,(주)쓰리캣프로덕션
151,존 웨인의 기병대,,"880,000",0.0%,"13,922,000",460,"6,436",1,6,미국,미국,
152,위대한 개츠비,2013-05-16,"3,445,000",0.0%,"10,584,774,643",459,"1,445,707",5,33,미국,"미국,호주",워너브러더스 코리아(주)
153,SIFF2019-폐막식,,"4,546,000",0.0%,"4,546,000",455,455,1,2,기타,기타,
154,올모스트 엔젤스,,"904,000",0.0%,"904,000",452,452,1,15,미국,미국,
155,마담 X,,"892,000",0.0%,"4,535,000",446,"2,260",1,12,미국,미국,
156,킹 오브 프리즘 - 프라이드 더 히어로,2017-06-10,"2,205,000",0.0%,"1,080,062,750",441,"128,744",1,5,일본,일본,"동우에이앤이(주),(주)박수엔터테인먼트"
157,마왕의 딸 이리샤,2019-09-26,"3,059,000",0.0%,"116,672,980",437,"16,393",1,2,한국,한국,"(주)싸이더스,(주)삼백상회"
158,내안의 그놈,2019-01-09,"3,038,000",0.0%,"16,420,764,567",434,"1,917,999",1,2,한국,한국,"(주)메리크리스마스,TCO(주)더콘텐츠온"
159,아담스 패밀리,2019-11-07,"2,582,000",0.0%,"2,636,891,140",432,"329,955",4,23,미국,"미국,영국,캐나다",유니버설픽쳐스인터내셔널 코리아(유)
160,4인의 무뢰한,1971-05-28,"866,000",0.0%,"866,000",428,428,1,5,미국,미국,
161,"나, 다니엘 블레이크",2016-12-08,"3,293,460",0.0%,"740,864,460",419,"98,805",3,19,영국,영국,(주)영화사 진진
162,킹 오브 프리즘 -샤이니 세븐 스타즈-,2019-03-07,"2,015,000",0.0%,"141,519,690",403,"16,423",1,5,일본,일본,동우에이앤이(주)
163,몽마르트 파파,2020-01-09,"2,631,000",0.0%,"2,631,000",396,396,3,5,한국,한국,(주)트리플픽쳐스
164,위!,2019-11-28,"2,806,780",0.0%,"9,973,280",390,"1,278",4,62,네덜란드,네덜란드,(주)미로스페이스
165,타이페이 스토리,2019-11-07,"2,786,337",0.0%,"35,966,420",388,"4,456",4,36,대만,대만,(주)드림팩트엔터테인먼트
166,하나님과의 인터뷰,,"2,664,000",0.0%,"7,435,000",383,"1,066",2,2,미국,미국,(주)브리즈픽처스
167,밀양,2007-05-23,"3,107,500",0.0%,"10,273,400,000",380,"1,604,819",1,7,한국,한국,(주)시네마서비스
168,퍼스트 리폼드,2019-04-11,"3,357,000",0.0%,"95,187,800",378,"12,051",1,6,미국,미국,(주)올스타엔터테인먼트
169,수퍼 디스코,2019-11-28,"3,516,980",0.0%,"12,681,460",375,"1,495",17,85,한국,한국,(주)리틀빅픽쳐스
170,킹 오브 프리즘 –샤이니 세븐 스타즈- IV 루이x신x언노운,2019-05-30,"1,860,000",0.0%,"121,225,370",372,"14,502",1,5,일본,일본,동우에이앤이(주)
171,집시,,"732,000",0.0%,"3,393,000",366,"1,694",1,8,미국,미국,
172,차일드 인 타임,2020-01-09,"2,422,000",0.0%,"2,422,000",362,362,4,4,영국,영국,(주)팝엔터테인먼트
173,삼촌,2019-11-28,"2,905,800",0.0%,"5,753,540",361,702,7,82,한국,한국,(주)드림팩트엔터테인먼트
173,나이아가라,,"722,000",0.0%,"17,107,000",361,"8,325",1,8,미국,미국,
173,007 살인번호,,"673,000",0.0%,"22,878,000",361,"11,460",1,6,영국,영국,
176,킹 오브 프리즘 -샤이니 세븐 스타즈- Ⅲ 레오×유우×알렉,2019-05-02,"1,800,000",0.0%,"91,685,730",360,"10,889",1,5,일본,일본,동우에이앤이(주)
177,(2019최강애니전) 꿈의 놀이터,,"1,416,000",0.0%,"4,307,000",354,937,1,3,기타,기타,
178,킹 오브 프리즘 –샤이니 세븐 스타즈- II 카케루x조지x미나토,2019-04-04,"1,745,000",0.0%,"81,258,970",349,"9,640",1,5,일본,일본,동우에이앤이(주)
179,찬실이는 복도 많지,2020-03-05,"2,647,000",0.0%,"3,641,000",345,487,1,4,한국,한국,찬란
180,우먼 인 할리우드,2019-10-31,"2,134,000",0.0%,"78,512,040",339,"9,844",1,9,미국,미국,(주)마노엔터테인먼트
181,전쟁과 평화,1977-09-27,"640,000",0.0%,"28,275,774",336,"14,620",1,4,미국,미국,
182,을화,1979-09-28,"654,000",0.0%,"10,131,000",335,"5,087",1,6,한국,한국,
183,얼굴없는 보스,2019-11-21,"2,019,500",0.0%,"199,801,000",334,"23,711",12,84,한국,한국,"(주)좋은 하늘,(주)박수엔터테인먼트"
184,알라모,,"583,000",0.0%,"6,623,000",329,"3,158",1,4,미국,미국,
185,알라딘,2019-05-23,"2,361,000",0.0%,"106,955,138,359",327,"12,552,283",2,6,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
186,디데이,,"652,000",0.0%,"1,378,000",326,706,1,6,미국,미국,
186,라라랜드,2016-12-07,"2,331,908",0.0%,"30,044,151,388",326,"3,601,602",2,8,미국,미국,판씨네마(주)
188,녹턴,,"1,288,000",0.0%,"1,288,000",322,322,2,5,한국,한국,
189,자백,2016-10-13,"1,926,000",0.0%,"1,133,409,200",321,"144,372",1,2,한국,한국,(주)엣나인필름
190,제미니 맨,2019-10-09,"2,496,000",0.0%,"3,295,969,230",320,"387,342",5,16,미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
191,바람의 언덕,2020-04-23,"2,321,000",0.0%,"3,293,500",306,440,1,4,한국,한국,영화사 삼순
192,킹 오브 프리즘 (바이 프리티 리듬),2016-08-11,"1,500,000",0.0%,"1,005,071,150",300,"121,053",1,5,일본,일본,(주)박수엔터테인먼트
193,나의 특별한 형제,2019-05-01,"2,376,000",0.0%,"12,081,618,074",297,"1,478,156",1,2,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
194,마탄의 사수,2019-09-01,"3,396,000",0.0%,"32,757,000",283,"1,669",2,2,독일,독일,(주)케빈앤컴퍼니
195,멋진 하루,2008-09-25,"2,336,500",0.0%,"2,589,159,671",282,"397,669",1,6,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
196,더 킹: 헨리 5세,2019-10-23,"1,820,000",0.0%,"149,888,820",276,"19,503",2,9,네덜란드,네덜란드,판씨네마(주)
197,황진이,1986-09-18,"549,000",0.0%,"12,956,000",275,"6,241",1,6,한국,한국,
197,맘마미아!,2008-09-03,"1,978,000",0.0%,"29,690,903,850",275,"4,578,514",1,7,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
