●20주차 (2020년 05월 11일 ~ 2020년 05월 17일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
43,킹 오브 프리즘 올 스타즈 -프리즘 쇼☆베스트10-,2020-04-02,"4,203,020",0.2%,"-2,696,460",-39.1%,"48,033,540",509,-289,-36.2%,"5,531",14,77,일본,일본,동우에이앤이(주)
44,이별의 아침에 약속의 꽃을 장식하자,2018-07-19,"2,376,440",0.1%,"-1,284,820",-35.1%,"327,961,200",465,-240,-34.0%,"38,941",23,143,일본,일본,(주)미디어캐슬
45,킹덤,2020-04-29,"3,629,000",0.2%,"-29,062,000",-88.9%,"140,664,000",450,"-3,377",-88.2%,"17,629",51,137,일본,일본,와이드 릴리즈(주)
46,썸원 썸웨어,2020-04-29,"3,203,540",0.1%,"-6,598,400",-67.3%,"28,805,460",425,-749,-63.8%,"3,436",19,86,프랑스,프랑스,찬란
47,썸머 워즈,2009-08-13,"2,021,120",0.1%,"2,021,120",100.0%,"941,621,320",411,411,100.0%,"132,665",39,135,일본,일본,CJ ENM
48,파도를 걷는 소년,2020-05-14,"3,576,300",0.2%,"3,576,300",100.0%,"3,970,300",410,410,100.0%,470,25,85,한국,한국,매치컷(주)
49,"조금씩, 천천히 안녕",2020-05-27,"1,965,000",0.1%,"1,965,000",100.0%,"1,965,000",393,393,100.0%,393,3,3,일본,일본,(주)디스테이션
50,기도의 막이 내릴 때,2020-05-14,"3,240,260",0.1%,"3,240,260",100.0%,"3,240,260",381,381,100.0%,381,33,136,일본,일본,노바엔터테인먼트
51,오퍼나지: 비밀의계단,2008-02-14,"3,561,300",0.2%,"3,561,300",100.0%,"1,130,804,800",380,380,100.0%,"173,990",4,7,스페인,"스페인,멕시코","(주)팝엔터테인먼트,(주)프라임엔터테인먼트,(주)유레카픽쳐스"
52,라스트 풀 메저,2020-05-20,"2,227,000",0.1%,"2,227,000",100.0%,"2,227,000",379,379,100.0%,379,2,3,미국,미국,(주)삼백상회
53,시네마 천국,1990-07-07,"1,785,500",0.1%,"-5,367,500",-75.0%,"298,684,700",357,"-1,068",-74.9%,"48,446",15,61,프랑스,"프랑스,이탈리아","주식회사 왓챠,(주)팝엔터테인먼트"
54,샤레이드,,"2,332,000",0.1%,"-814,000",-25.9%,"17,547,000",333,-111,-25.0%,"5,370",8,32,,,
55,비홀드 마이 하트,2020-05-21,"2,282,000",0.1%,"2,282,000",100.0%,"2,282,000",326,326,100.0%,326,2,3,미국,미국,(주)디오시네마
56,인비저블 게스트,2017-09-21,"1,610,000",0.1%,"-4,585,000",-74.0%,"772,434,800",322,-917,-74.0%,"96,951",38,98,스페인,스페인,(주)더블앤조이픽쳐스
57,"안녕, 미누",2020-05-27,"2,198,000",0.1%,"2,198,000",100.0%,"2,389,000",314,314,100.0%,354,3,4,한국,한국,"영화사 풀,(주)영화사 친구"
58,싸커 퀸즈,2020-05-27,"1,480,000",0.1%,"1,480,000",100.0%,"1,480,000",296,296,100.0%,296,2,2,프랑스,프랑스,와이드 릴리즈(주)
59,찬실이는 복도 많지,2020-03-05,"2,327,000",0.1%,"-873,820",-27.3%,"221,786,780",295,-111,-27.3%,"25,911",9,58,한국,한국,찬란
60,비커밍 제인,2007-10-11,"2,211,000",0.1%,"2,211,000",100.0%,"1,369,658,000",287,287,100.0%,"213,147",2,3,미국,미국,"(주)팝엔터테인먼트,CJ ENM"
61,작은 아씨들,2020-02-12,"1,673,360",0.1%,"-2,474,940",-59.7%,"7,265,152,850",269,-224,-45.4%,"862,051",6,37,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
62,루팡 3세: 더 퍼스트,2020-05-21,"2,394,000",0.1%,"2,394,000",100.0%,"2,394,000",262,262,100.0%,262,2,3,일본,일본,(주)넥스트엔터테인먼트월드(NEW)
63,괴물의 아이,2015-11-25,"1,486,000",0.1%,"1,486,000",100.0%,"1,667,001,116",248,248,100.0%,"225,140",31,75,일본,일본,"CGV아트하우스,(주)리틀빅픽쳐스"
64,노예반란,,"436,000",0.0%,"436,000",100.0%,"436,000",218,218,100.0%,218,1,9,이탈리아,"이탈리아,스페인,서독",
65,너의 이름은.,2017-01-04,"1,575,920",0.1%,"-697,860",-30.7%,"30,033,599,156",214,-244,-53.3%,"3,732,301",7,37,일본,일본,메가박스중앙(주)플러스엠
66,엽문4: 더 파이널,2020-04-01,"1,671,000",0.1%,"-84,500",-4.8%,"630,038,300",192,-17,-8.1%,"72,813",4,13,홍콩,홍콩,(주)키다리이엔티
67,그늘과 양지,,"368,000",0.0%,"368,000",100.0%,"2,338,000",184,184,100.0%,"1,164",1,9,미국,미국,
68,바람의 언덕,2020-04-23,"1,416,000",0.1%,"-332,900",-19.0%,"13,607,400",164,-71,-30.2%,"1,734",11,43,한국,한국,영화사 삼순
69,마이 페어 레이디,,"1,167,500",0.1%,"-2,425,500",-67.5%,"10,487,000",162,-329,-67.0%,"1,501",5,20,미국,미국,
70,파리의 아메리카인,,"307,000",0.0%,"307,000",100.0%,"6,930,000",152,152,100.0%,"3,194",1,12,미국,미국,
70,사브리나,,"1,075,500",0.0%,"-2,362,500",-68.7%,"34,132,000",152,-325,-68.1%,"13,442",10,29,미국,미국,
72,토요일밤과 일요일아침,,"300,000",0.0%,"300,000",100.0%,"300,000",150,150,100.0%,150,1,12,영국,영국,
73,하이큐!! 콘셉트의 싸움,2018-01-11,"745,000",0.0%,"-3,495,000",-82.4%,"188,798,000",149,-699,-82.4%,"26,141",9,9,일본,일본,(주)팝엔터테인먼트
74,아비정전,1990-12-22,"1,348,000",0.1%,"-611,000",-31.2%,"164,019,100",139,-57,-29.1%,"23,575",3,19,홍콩,홍콩,(주)디스테이션
75,장모님들의 사랑,2020-05-13,"689,000",0.0%,"689,000",100.0%,"689,000",138,138,100.0%,138,20,20,한국,한국,(주)소나무픽쳐스
76,유령선,2020-04-15,"991,800",0.0%,"-6,957,500",-87.5%,"181,293,040",129,-791,-86.0%,"20,691",23,76,한국,한국,(주)엣나인필름
77,주디,2020-03-25,"868,400",0.0%,"-2,524,180",-74.4%,"759,450,060",123,-313,-71.8%,"92,299",6,16,영국,영국,TCO(주)더콘텐츠온
78,파리의 연인,,"894,000",0.0%,"-1,427,000",-61.5%,"23,621,000",122,-205,-62.7%,"9,516",6,20,미국,미국,
79,미래의 미라이,2019-01-16,"727,500",0.0%,"727,500",100.0%,"865,503,257",121,121,100.0%,"106,646",18,43,일본,일본,메가박스중앙(주)플러스엠
80,어바웃 타임,2013-12-05,"603,000",0.0%,"-749,000",-55.4%,"25,254,750,800",119,-150,-55.8%,"3,441,516",3,14,영국,영국,유니버설픽쳐스인터내셔널 코리아(유)
81,하이큐!! 재능과 센스,2017-11-15,"560,000",0.0%,"-2,975,000",-84.2%,"315,688,500",112,-595,-84.2%,"44,306",9,9,일본,일본,(주)이수C&E
82,이장,2020-03-25,"732,000",0.0%,"-344,000",-32.0%,"36,593,040",111,-52,-31.9%,"4,388",8,26,한국,한국,㈜인디스토리
83,페널티킥 앞에 선 골키퍼의 불안,,"713,000",0.0%,"713,000",100.0%,"2,125,000",102,102,100.0%,305,1,2,서독,"서독,오스트리아",
84,개선문,,"202,000",0.0%,"202,000",100.0%,"5,485,000",101,101,100.0%,"2,894",1,9,미국,미국,
84,레미제라블,2012-12-19,"511,000",0.0%,"-2,465,500",-82.8%,"43,185,195,000",101,-488,-82.9%,"5,938,762",7,16,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
86,하이큐!! 승자와 패자,2016-12-28,"485,000",0.0%,"-2,560,000",-84.1%,"386,265,000",97,-512,-84.1%,"54,079",9,10,일본,일본,"(주)이수C&E,(주)팝엔터테인먼트"
87,스타 이즈 본,2018-10-09,"486,420",0.0%,"-1,275,520",-72.4%,"4,444,424,380",96,-245,-71.8%,"527,359",3,15,미국,미국,워너브러더스 코리아(주)
88,마담 버터플라이,2020-05-05,"2,255,700",0.1%,"-960,700",-29.9%,"5,472,100",95,-27,-22.1%,217,7,12,미국,미국,(주) 인스터 글로벌
89,신과 나: 100일간의 거래,2020-04-08,"644,000",0.0%,"584,000",973.3%,"61,175,100",92,73,384.2%,"7,280",2,2,기타,기타,"(주)제이앤씨미디어그룹,와이드 릴리즈(주)"
90,델마와 루이스,1993-11-27,"463,000",0.0%,"-244,000",-34.5%,"119,456,600",91,-50,-35.5%,"18,514",2,13,미국,미국,(주)드림팩트엔터테인먼트
91,하이큐!! 끝과 시작,2016-11-16,"435,000",0.0%,"-2,135,000",-83.1%,"731,670,000",87,-427,-83.1%,"100,631",10,10,일본,일본,(주)팝엔터테인먼트
92,더 워닝,2020-05-06,"430,000",0.0%,"-1,020,000",-70.3%,"2,079,000",86,-204,-70.3%,405,23,39,스페인,스페인,(주)더블앤조이픽쳐스
93,리골레토,2020-04-05,"2,208,700",0.1%,"24,400",1.1%,"20,586,400",85,2,2.4%,840,8,15,독일,독일,(주)케빈앤컴퍼니
94,야성녀,,"168,000",0.0%,"168,000",100.0%,"3,323,000",84,84,100.0%,"1,655",1,9,미국,미국,
95,모감보,,"166,000",0.0%,"166,000",100.0%,"20,645,000",83,83,100.0%,"9,896",1,9,미국,미국,
96,그집,2020-05-27,"468,000",0.0%,"468,000",100.0%,"468,000",78,78,100.0%,78,1,1,스페인,스페인,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"
96,미국인 친구,,"518,000",0.0%,"518,000",100.0%,"518,000",78,78,100.0%,78,1,2,서독,"서독,프랑스",
98,타오르는 여인의 초상,2020-01-16,"719,500",0.0%,"-276,000",-27.7%,"1,243,494,908",77,-22,-22.2%,"147,584",3,14,프랑스,프랑스,"그린나래미디어(주),(주)홈초이스"
99,라라걸,2020-04-15,"569,840",0.0%,"-3,148,080",-84.7%,"108,387,540",71,-371,-83.9%,"12,748",8,33,호주,호주,판씨네마(주)
99,애니 레보비츠: 렌즈를 통해 들여다본 삶,2009-06-11,"551,760",0.0%,"-532,040",-49.1%,"47,918,080",71,-64,-47.4%,"6,883",3,17,미국,미국,"하준사,(주)스폰지이엔티"
101,피가로의 결혼,2020-05-01,"2,206,500",0.1%,"-516,500",-19.0%,"6,140,500",69,-12,-14.8%,186,5,11,이탈리아,이탈리아,일미디어
102,남매의 여름밤,2020-08-20,"441,000",0.0%,"266,000",152.0%,"2,956,000",63,38,152.0%,422,1,1,한국,한국,그린나래미디어(주)
103,비밀정보원: 인 더 프리즌,2020-04-15,"498,920",0.0%,"-1,900,540",-79.2%,"172,494,940",61,-243,-79.9%,"20,303",4,14,영국,영국,(주)제이앤씨미디어그룹
104,가슴 큰 형수-무삭제판,2020-05-14,"300,000",0.0%,"300,000",100.0%,"300,000",60,60,100.0%,60,1,1,한국,한국,케이엘 픽쳐스
105,인비저블맨,2020-02-26,"321,000",0.0%,"-1,380,500",-81.1%,"5,014,168,060",56,-191,-77.3%,"574,767",3,14,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
106,언어의 정원,2013-08-14,"275,000",0.0%,"-2,002,000",-87.9%,"504,894,423",55,-400,-87.9%,"76,072",8,20,일본,일본,(주)팝엔터테인먼트
106,몽상가들,2005-03-25,"422,000",0.0%,"295,000",232.3%,"287,871,204",55,40,266.7%,"41,533",1,4,프랑스,프랑스,"찬란,오드"
106,베를린 천사의 시,1993-05-15,"418,000",0.0%,"418,000",100.0%,"5,115,000",55,55,100.0%,816,1,1,독일,독일,
109,시간의 흐름 속으로,,"361,000",0.0%,"361,000",100.0%,"765,000",54,54,100.0%,137,1,1,독일,독일,
109,퐁네프의 연인들,1992-04-18,"418,000",0.0%,"221,000",112.2%,"65,990,200",54,29,116.0%,"8,445",1,4,프랑스,프랑스,오드
111,극장판 엉덩이 탐정: 화려한 사건 수첩,2019-07-11,"275,000",0.0%,"-5,991,000",-95.6%,"1,105,286,640",53,"-1,190",-95.7%,"140,337",3,11,일본,일본,(주)넥스트엔터테인먼트월드(NEW)
112,헌트,2020-04-23,"416,920",0.0%,"-4,255,660",-91.1%,"44,471,240",52,-571,-91.7%,"5,807",5,21,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
113,고양이와 할아버지,2020-04-23,"428,920",0.0%,"-1,150,260",-72.8%,"21,428,820",51,-133,-72.3%,"2,543",4,16,일본,일본,(주)디스테이션
113,아내를 빌려드립니다,2020-05-14,"347,000",0.0%,"347,000",100.0%,"347,000",51,51,100.0%,51,20,20,한국,한국,(주)나우콘텐츠
113,가슴 큰 초희,2020-05-12,"347,000",0.0%,"347,000",100.0%,"347,000",51,51,100.0%,51,20,20,한국,한국,케이엘 픽쳐스
113,가슴 큰 가인,2020-05-15,"342,000",0.0%,"342,000",100.0%,"342,000",51,51,100.0%,51,20,20,한국,한국,케이엘 픽쳐스
117,기억의 전쟁,2020-02-27,"288,000",0.0%,"121,500",73.0%,"16,631,240",49,24,96.0%,"1,983",6,13,한국,한국,(주)시네마달
118,사물의 상태,,"324,000",0.0%,"324,000",100.0%,"324,000",48,48,100.0%,48,1,1,서독,서독,
119,왕과 나: 런던 팔라디움 극장 뮤지컬,2020-04-29,"722,500",0.0%,"-2,938,000",-80.3%,"8,737,000",44,-180,-80.4%,510,8,15,영국,영국,씨제이포디플렉스 주식회사
120,도쿄가,,"285,000",0.0%,"285,000",100.0%,"285,000",40,40,100.0%,40,1,1,서독,서독,
121,모리의 정원,2020-03-26,"255,000",0.0%,"-141,000",-35.6%,"27,121,720",39,-11,-22.0%,"3,208",3,11,일본,일본,(주)영화사 진진
122,나바론 요새,1974-07-20,"76,000",0.0%,"76,000",100.0%,"22,650,104",38,38,100.0%,"11,628",1,2,미국,"미국,영국",
123,siff 2020 단편2 : 비밀과 거짓말,,"252,000",0.0%,"252,000",100.0%,"252,000",36,36,100.0%,36,1,1,한국,한국,
123,멀고도 가까운,,"245,000",0.0%,"245,000",100.0%,"245,000",36,36,100.0%,36,1,1,독일,독일,
125,사랑에 관한 짧은 필름,1995-10-14,"175,000",0.0%,"175,000",100.0%,"2,429,000",35,35,100.0%,321,1,2,폴란드,폴란드,(주)영화사 안다미로
125,산상수훈,2017-12-07,"378,000",0.0%,"-28,000",-6.9%,"416,818,790",35,0,0.0%,"55,103",1,1,한국,한국,"이언픽쳐스,(주)그란"
127,아이들의 시간,,"68,000",0.0%,"68,000",100.0%,"4,178,000",34,34,100.0%,"2,010",1,4,미국,미국,
127,도시와 옷에 대한 노트,,"231,000",0.0%,"231,000",100.0%,"231,000",34,34,100.0%,34,1,1,서독,서독,
129,지구 최후의 밤,2019-07-25,"272,000",0.0%,"81,000",42.4%,"52,980,080",31,7,29.2%,"6,512",1,3,중국,중국,찬란
129,우리는 매일매일,2021-06-30,"217,000",0.0%,"217,000",100.0%,"1,438,000",31,31,100.0%,218,1,1,한국,한국,㈜인디스토리
129,어메이징 그레이스,2019-11-28,"265,000",0.0%,"62,000",30.5%,"43,293,700",31,8,34.8%,"5,559",1,1,미국,미국,(주)영화사 진진
132,너의 새는 노래할 수 있어,2020-04-16,"242,920",0.0%,"-281,920",-53.7%,"18,845,900",30,-32,-51.6%,"2,049",2,8,일본,일본,(주)디오시네마
132,사랑이 뭘까,2020-04-09,"270,280",0.0%,"-1,066,540",-79.8%,"46,000,960",30,-120,-80.0%,"5,154",3,16,일본,일본,(주)엣나인필름
134,원스,2007-09-20,"154,000",0.0%,"-144,000",-48.3%,"1,909,967,000",29,-27,-48.2%,"274,587",2,8,아일랜드,아일랜드,"(주)제이앤씨미디어그룹,(주)영화사 진진"
134,젠틀맨,2020-02-26,"165,000",0.0%,"-3,000",-1.8%,"665,617,710",29,1,3.6%,"81,474",2,4,미국,미국,"(주)영화사 빅,(주)다날엔터테인먼트"
136,멀홀랜드 드라이브,2001-11-30,"140,000",0.0%,"140,000",100.0%,"106,348,882",28,28,100.0%,"13,409",1,1,미국,미국,(주)영화사 안다미로
136,블루 발렌타인,2012-05-31,"198,000",0.0%,"73,000",58.4%,"121,881,700",28,13,86.7%,"16,075",1,4,미국,미국,(주)영화사 진진
136,마담 프루스트의 비밀정원,2014-07-24,"140,000",0.0%,"140,000",100.0%,"1,270,380,962",28,28,100.0%,"162,029",1,1,프랑스,프랑스,찬란
139,더 그레이,2012-02-16,"135,000",0.0%,"-10,000",-6.9%,"2,199,389,500",27,-2,-6.9%,"292,323",1,12,미국,"미국,캐나다",(주)팝파트너스
140,아틸라,2020-04-03,"362,500",0.0%,"-432,000",-54.4%,"5,141,000",26,3,13.0%,170,6,6,이탈리아,이탈리아,일미디어
141,도시의 앨리스,,"182,000",0.0%,"182,000",100.0%,"1,363,000",25,25,100.0%,215,1,1,서독,서독,
142,레드슈즈,2019-07-25,"125,000",0.0%,"-9,008,500",-98.6%,"6,119,435,190",24,"-1,760",-98.7%,"820,764",2,7,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
142,siff 2020 단편5 : 다가가고 싶은 오늘,,"168,000",0.0%,"168,000",100.0%,"168,000",24,24,100.0%,24,1,1,한국,한국,
144,올리브나무사이로,1997-08-23,"115,000",0.0%,"-15,000",-11.5%,"1,822,000",23,-3,-11.5%,237,1,2,프랑스,"프랑스,이란",
144,siff 2020 단편1 : 세상에 모든 그녀들,,"161,000",0.0%,"161,000",100.0%,"161,000",23,23,100.0%,23,1,1,한국,한국,
146,판의 미로 - 오필리아와 세 개의 열쇠,2006-11-30,"241,000",0.0%,"241,000",100.0%,"2,975,898,548",22,22,100.0%,"494,007",4,4,스페인,"스페인,멕시코","(주)디스테이션,(주)프라임엔터테인먼트"
146,소은이의 무릎,2019-05-30,"44,000",0.0%,"44,000",100.0%,"8,518,100",22,22,100.0%,"1,242",1,4,한국,한국,(주)영화사 그램
146,너의 췌장을 먹고 싶어,2018-11-15,"110,000",0.0%,"-237,000",-68.3%,"413,029,505",22,-38,-63.3%,"52,837",1,6,일본,일본,(주)넥스트엔터테인먼트월드(NEW)
149,떠돌이 개,,"105,000",0.0%,"45,000",75.0%,"1,919,500",21,9,75.0%,323,1,1,대만,"대만,프랑스",
149,출장 마사지 : 흥분한 여자들 2,2020-05-14,"105,000",0.0%,"105,000",100.0%,"105,000",21,21,100.0%,21,20,20,한국,한국,(주)영화사가을
149,골목이 끝나는 곳,,"42,000",0.0%,"42,000",100.0%,"3,248,000",21,21,100.0%,"1,619",1,3,미국,미국,
152,건축학개론,2012-03-22,"200,000",0.0%,"80,000",66.7%,"30,242,582,900",20,8,66.7%,"4,113,728",1,1,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
152,콜드 워,2019-02-07,"147,400",0.0%,"2,400",1.7%,"229,971,773",20,1,5.3%,"27,807",1,3,폴란드,폴란드,아이 엠
152,부부교환의 목적2,2020-05-15,"102,000",0.0%,"102,000",100.0%,"102,000",20,20,100.0%,20,20,20,한국,한국,(주)로드하우스
