●40주차 (2020년 09월 28일 ~ 2020년 10월 04일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
92,미스터 노바디: 감독판,,"432,000",0.0%,"432,000",100.0%,"432,000",54,54,100.0%,54,1,4,프랑스,프랑스,(주)영화사 안다미로
93,18 하라의 맛있는 수업,2020-09-29,"339,000",0.0%,"339,000",100.0%,"339,000",51,51,100.0%,51,20,20,한국,한국,케이엘 픽쳐스
93,회전목마,,"102,000",0.0%,"-549,000",-84.3%,"4,775,000",51,-272,-84.2%,"2,377",1,3,미국,미국,
95,타오르는 여인의 초상,2020-01-16,"144,030",0.0%,"41,030",39.8%,"1,254,222,398",50,38,316.7%,"148,958",1,2,프랑스,프랑스,"그린나래미디어(주),(주)홈초이스"
95,반도,2020-07-15,"300,000",0.0%,"-4,965,000",-94.3%,"33,068,801,280",50,-969,-95.1%,"3,811,877",2,2,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
95,악사들,2014-12-04,"135,000",0.0%,"112,000",487.0%,"8,609,700",50,41,455.6%,"1,714",1,14,한국,한국,㈜인디스토리
98,산쇼다유,,"325,000",0.0%,"325,000",100.0%,"2,529,000",49,49,100.0%,411,1,1,일본,일본,
99,홀리 모터스,2013-04-04,"384,000",0.0%,"384,000",100.0%,"158,541,600",48,48,100.0%,"20,248",2,5,프랑스,"프랑스,독일","(주)영화사 안다미로,오드"
99,명랑소녀,,"325,000",0.0%,"325,000",100.0%,"609,000",48,48,100.0%,119,1,1,일본,일본,
99,우게츠 이야기,,"329,000",0.0%,"329,000",100.0%,"1,798,000",48,48,100.0%,278,1,1,일본,일본,
102,죽이는 여자,2020-08-23,"52,000",0.0%,"52,000",100.0%,"2,404,000",46,46,100.0%,"2,332",1,1,미국,미국,(주)영화사 안다미로
103,레이디 버드,2018-04-04,"241,500",0.0%,"241,500",100.0%,"830,571,200",45,45,100.0%,"102,076",1,2,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
104,워터 릴리스,2020-08-13,"365,000",0.0%,"42,000",13.0%,"99,335,032",44,0,0.0%,"11,627",3,9,프랑스,프랑스,(주)영화특별시에스엠씨
105,위크엔드 인 파리,2014-05-01,"331,000",0.0%,"331,000",100.0%,"265,897,400",42,42,100.0%,"34,165",1,2,영국,영국,판씨네마(주)
